institute_id,year,gr_total,gr_AmerInd_AlaskNtv,gr_Asian,gr_AfrAmer,gr_Hispanic,gr_Hi_PacIsland,gr_White,gr_2orMore,gr_unknown,gr_nonresAlien,co_total,co_AmerInd_AlaskNtv,co_Asian,co_AfrAmer,co_Hispanic,co_Hi_PacIsland,co_White,co_2orMore,co_unknown,co_nonresAlien
235097,2016,1524,26.0,80.0,105.0,193.0,1.0,1035.0,50.0,18.0,16.0,709.0,5.0,30.0,38.0,80.0,0.0,520.0,25.0,7.0,4.0
235097,2017,1472,11.0,39.0,55.0,198.0,7.0,1029.0,78.0,30.0,25.0,772.0,3.0,16.0,12.0,90.0,4.0,584.0,33.0,14.0,16.0
235097,2018,1556,16.0,40.0,64.0,247.0,7.0,1047.0,97.0,8.0,30.0,686.0,2.0,19.0,16.0,87.0,1.0,507.0,32.0,3.0,19.0
235097,2019,1469,13.0,42.0,55.0,211.0,5.0,1004.0,95.0,13.0,31.0,786.0,4.0,19.0,20.0,106.0,2.0,571.0,38.0,9.0,17.0
235097,2020,1603,21.0,33.0,76.0,246.0,12.0,1073.0,110.0,18.0,14.0,852.0,10.0,19.0,33.0,116.0,1.0,602.0,49.0,10.0,12.0
235103,2017,458,6.0,48.0,24.0,37.0,7.0,265.0,49.0,21.0,1.0,128.0,2.0,14.0,5.0,8.0,2.0,76.0,12.0,8.0,1.0
235103,2018,407,2.0,62.0,28.0,38.0,4.0,228.0,28.0,17.0,0.0,101.0,0.0,15.0,5.0,7.0,0.0,63.0,8.0,3.0,0.0
235103,2019,397,4.0,63.0,22.0,39.0,1.0,202.0,35.0,31.0,0.0,113.0,1.0,15.0,3.0,10.0,0.0,71.0,6.0,7.0,0.0
235103,2020,334,2.0,53.0,22.0,33.0,3.0,172.0,31.0,16.0,2.0,99.0,0.0,16.0,3.0,10.0,0.0,53.0,11.0,6.0,0.0
235167,2010,479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
235167,2011,590,14.0,24.0,13.0,25.0,5.0,429.0,18.0,62.0,0.0,320.0,7.0,10.0,2.0,13.0,4.0,239.0,10.0,35.0,0.0
235167,2012,577,10.0,31.0,17.0,27.0,0.0,414.0,12.0,64.0,2.0,310.0,3.0,15.0,6.0,15.0,0.0,223.0,7.0,40.0,1.0
235167,2013,677,13.0,33.0,15.0,43.0,3.0,488.0,24.0,56.0,2.0,385.0,4.0,12.0,7.0,20.0,1.0,285.0,19.0,36.0,1.0
235167,2014,658,12.0,20.0,22.0,27.0,3.0,498.0,22.0,49.0,5.0,370.0,2.0,12.0,12.0,13.0,2.0,283.0,16.0,27.0,3.0
235167,2015,576,10.0,24.0,18.0,45.0,3.0,408.0,15.0,52.0,1.0,309.0,4.0,13.0,7.0,16.0,1.0,232.0,9.0,26.0,1.0
235167,2016,612,8.0,15.0,19.0,40.0,2.0,431.0,48.0,47.0,2.0,345.0,4.0,6.0,10.0,22.0,0.0,248.0,32.0,22.0,1.0
235167,2017,536,3.0,14.0,22.0,34.0,0.0,378.0,36.0,43.0,6.0,307.0,1.0,9.0,9.0,22.0,0.0,215.0,24.0,24.0,3.0
235167,2018,519,6.0,13.0,19.0,42.0,7.0,355.0,39.0,36.0,2.0,285.0,4.0,9.0,9.0,22.0,4.0,186.0,27.0,23.0,1.0
235167,2019,496,6.0,13.0,15.0,43.0,1.0,331.0,40.0,44.0,3.0,247.0,2.0,7.0,6.0,18.0,1.0,174.0,15.0,22.0,2.0
235167,2020,526,9.0,15.0,24.0,59.0,2.0,338.0,47.0,32.0,0.0,236.0,4.0,8.0,10.0,27.0,1.0,155.0,19.0,12.0,0.0
235237,2016,360,7.0,19.0,43.0,37.0,3.0,180.0,50.0,20.0,1.0,73.0,1.0,8.0,10.0,9.0,0.0,32.0,10.0,3.0,0.0
235237,2017,320,5.0,14.0,43.0,45.0,6.0,142.0,43.0,22.0,0.0,76.0,1.0,7.0,7.0,9.0,1.0,34.0,14.0,3.0,0.0
235237,2018,337,5.0,18.0,49.0,46.0,3.0,153.0,42.0,21.0,0.0,89.0,1.0,4.0,4.0,13.0,1.0,49.0,10.0,7.0,0.0
235237,2019,325,7.0,21.0,35.0,35.0,4.0,159.0,43.0,20.0,1.0,88.0,0.0,4.0,4.0,10.0,0.0,52.0,13.0,4.0,1.0
235237,2020,665,3.0,29.0,57.0,85.0,15.0,347.0,79.0,50.0,0.0,213.0,0.0,10.0,8.0,29.0,3.0,122.0,29.0,12.0,0.0
235316,2010,973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,6.0,776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,4.0
235316,2011,985,6.0,49.0,10.0,44.0,7.0,730.0,17.0,116.0,6.0,817.0,3.0,34.0,9.0,36.0,2.0,617.0,15.0,96.0,5.0
235316,2012,977,11.0,41.0,10.0,44.0,14.0,807.0,28.0,12.0,10.0,793.0,7.0,34.0,8.0,32.0,6.0,662.0,25.0,11.0,8.0
235316,2013,1033,7.0,40.0,15.0,29.0,11.0,851.0,36.0,28.0,16.0,850.0,5.0,36.0,11.0,24.0,8.0,708.0,31.0,19.0,8.0
235316,2014,1104,8.0,50.0,16.0,62.0,11.0,837.0,4.0,98.0,18.0,918.0,5.0,40.0,12.0,52.0,9.0,704.0,3.0,78.0,15.0
235316,2015,1237,11.0,54.0,15.0,80.0,6.0,898.0,16.0,149.0,8.0,1023.0,6.0,42.0,12.0,62.0,3.0,755.0,12.0,124.0,7.0
235316,2016,1118,6.0,30.0,14.0,84.0,7.0,875.0,63.0,18.0,21.0,938.0,5.0,25.0,14.0,65.0,4.0,739.0,56.0,15.0,15.0
235316,2017,1130,4.0,46.0,7.0,91.0,3.0,837.0,69.0,52.0,21.0,986.0,2.0,45.0,7.0,79.0,3.0,740.0,57.0,43.0,10.0
